term,definition,type,reviewDate,dateAdded,repetitions,easeFactor,interval,isNewCard,isRelearning
"Hola, mundo","Hello, world",Vocabulary,2025-08-08 00:00:00,2025-08-07 00:00:00,0,2.5,0,true,false
"Bonjour, le monde","Hello, world",Vocabulary,2025-08-09 00:00:00,2025-08-07 00:00:01,0,2.5,0,true,false
"Hallo, Welt","Hello, world",Vocabulary,2025-08-10 00:00:00,2025-08-07 00:00:02,0,2.5,0,true,false
"Ciao, mondo","Hello, world",Vocabulary,2025-08-11 00:00:00,2025-08-07 00:00:03,0,2.5,0,true,false
"Sí, por favor","Yes, please",Vocabulary,2025-08-12 00:00:00,2025-08-07 00:00:04,0,2.5,0,true,false
"No, gracias","No, thanks",Vocabulary,2025-08-13 00:00:00,2025-08-07 00:00:05,0,2.5,0,true,false
"Oui, s'il vous plaît","Yes, please",Vocabulary,2025-08-14 00:00:00,2025-08-07 00:00:06,0,2.5,0,true,false
"Non, merci","No, thanks",Vocabulary,2025-08-15 00:00:00,2025-08-07 00:00:07,0,2.5,0,true,false
"Ja, bitte","Yes, please",Vocabulary,2025-08-16 00:00:00,2025-08-07 00:00:08,0,2.5,0,true,false
"Nein, danke","No, thanks",Vocabulary,2025-08-17 00:00:00,2025-08-07 00:00:09,0,2.5,0,true,false
"Sì, per favore","Yes, please",Vocabulary,2025-08-18 00:00:00,2025-08-07 00:00:10,0,2.5,0,true,false
"No, grazie","No, thanks",Vocabulary,2025-08-19 00:00:00,2025-08-07 00:00:11,0,2.5,0,true,false
"Perdón, señor","Excuse me, sir",Vocabulary,2025-08-20 00:00:00,2025-08-07 00:00:12,0,2.5,0,true,false
"Pardon, madame","Excuse me, ma'am",Vocabulary,2025-08-21 00:00:00,2025-08-07 00:00:13,0,2.5,0,true,false
"Entschuldigung, bitte","Excuse me, please",Vocabulary,2025-08-22 00:00:00,2025-08-07 00:00:14,0,2.5,0,true,false
"Scusi, signore","Excuse me, sir",Vocabulary,2025-08-23 00:00:00,2025-08-07 00:00:15,0,2.5,0,true,false
Me llamo Ana,My name is Ana,Grammar,2025-08-08 00:00:00,2025-08-07 00:00:16,0,2.5,0,true,false
Je m'appelle Paul,My name is Paul,Grammar,2025-08-09 00:00:00,2025-08-07 00:00:17,0,2.5,0,true,false
Ich heiße Lara,My name is Lara,Grammar,2025-08-10 00:00:00,2025-08-07 00:00:18,0,2.5,0,true,false
Mi chiamo Luca,My name is Luca,Grammar,2025-08-11 00:00:00,2025-08-07 00:00:19,0,2.5,0,true,false
Yo quiero agua,I want water,Grammar,2025-08-12 00:00:00,2025-08-07 00:00:20,0,2.5,0,true,false
Je veux de l'eau,I want water,Grammar,2025-08-13 00:00:00,2025-08-07 00:00:21,0,2.5,0,true,false
Ich möchte Wasser,I want water,Grammar,2025-08-14 00:00:00,2025-08-07 00:00:22,0,2.5,0,true,false
Voglio acqua,I want water,Grammar,2025-08-15 00:00:00,2025-08-07 00:00:23,0,2.5,0,true,false
Estoy cansado,I'm tired,Grammar,2025-08-16 00:00:00,2025-08-07 00:00:24,0,2.5,0,true,false
Je suis fatigué,I'm tired,Grammar,2025-08-17 00:00:00,2025-08-07 00:00:25,0,2.5,0,true,false
Ich bin müde,I'm tired,Grammar,2025-08-18 00:00:00,2025-08-07 00:00:26,0,2.5,0,true,false
Sono stanco,I'm tired,Grammar,2025-08-19 00:00:00,2025-08-07 00:00:27,0,2.5,0,true,false
Yo voy a casa,I'm going home,Grammar,2025-08-20 00:00:00,2025-08-07 00:00:28,0,2.5,0,true,false
Je vais à la maison,I'm going home,Grammar,2025-08-21 00:00:00,2025-08-07 00:00:29,0,2.5,0,true,false
Ich gehe nach Hause,I'm going home,Grammar,2025-08-22 00:00:00,2025-08-07 00:00:30,0,2.5,0,true,false
Vado a casa,I'm going home,Grammar,2025-08-23 00:00:00,2025-08-07 00:00:31,0,2.5,0,true,false
Buenos días,Good morning in Spanish,Vocabulary,2025-08-24 00:00:00,2025-08-07 00:00:32,0,2.5,0,true,false
Buenas tardes,Good afternoon in Spanish,Vocabulary,2025-08-25 00:00:00,2025-08-07 00:00:33,0,2.5,0,true,false
Buenas noches,Good night in Spanish,Vocabulary,2025-08-26 00:00:00,2025-08-07 00:00:34,0,2.5,0,true,false
Bonjour,Good morning in French,Vocabulary,2025-08-27 00:00:00,2025-08-07 00:00:35,0,2.5,0,true,false
Bonsoir,Good evening in French,Vocabulary,2025-08-28 00:00:00,2025-08-07 00:00:36,0,2.5,0,true,false
Bonne nuit,Good night in French,Vocabulary,2025-08-29 00:00:00,2025-08-07 00:00:37,0,2.5,0,true,false
Guten Morgen,Good morning in German,Vocabulary,2025-08-30 00:00:00,2025-08-07 00:00:38,0,2.5,0,true,false
Guten Abend,Good evening in German,Vocabulary,2025-08-31 00:00:00,2025-08-07 00:00:39,0,2.5,0,true,false
Gute Nacht,Good night in German,Vocabulary,2025-09-01 00:00:00,2025-08-07 00:00:40,0,2.5,0,true,false
Buongiorno,Good morning in Italian,Vocabulary,2025-09-02 00:00:00,2025-08-07 00:00:41,0,2.5,0,true,false
Buonasera,Good evening in Italian,Vocabulary,2025-09-03 00:00:00,2025-08-07 00:00:42,0,2.5,0,true,false
Buonanotte,Good night in Italian,Vocabulary,2025-09-04 00:00:00,2025-08-07 00:00:43,0,2.5,0,true,false
Gracias,Thanks in Spanish,Vocabulary,2025-09-05 00:00:00,2025-08-07 00:00:44,0,2.5,0,true,false
Merci,Thanks in French,Vocabulary,2025-09-06 00:00:00,2025-08-07 00:00:45,0,2.5,0,true,false
Danke,Thanks in German,Vocabulary,2025-09-07 00:00:00,2025-08-07 00:00:46,0,2.5,0,true,false
Grazie,Thanks in Italian,Vocabulary,2025-09-08 00:00:00,2025-08-07 00:00:47,0,2.5,0,true,false
Yo tengo hambre,I'm hungry,Grammar,2025-08-24 00:00:00,2025-08-07 00:00:48,0,2.5,0,true,false
J'ai faim,I'm hungry,Grammar,2025-08-25 00:00:00,2025-08-07 00:00:49,0,2.5,0,true,false
Ich habe Hunger,I'm hungry,Grammar,2025-08-26 00:00:00,2025-08-07 00:00:50,0,2.5,0,true,false
Ho fame,I'm hungry,Grammar,2025-08-27 00:00:00,2025-08-07 00:00:51,0,2.5,0,true,false
Yo tengo sed,I'm thirsty,Grammar,2025-08-28 00:00:00,2025-08-07 00:00:52,0,2.5,0,true,false
J'ai soif,I'm thirsty,Grammar,2025-08-29 00:00:00,2025-08-07 00:00:53,0,2.5,0,true,false
Ich habe Durst,I'm thirsty,Grammar,2025-08-30 00:00:00,2025-08-07 00:00:54,0,2.5,0,true,false
Ho sete,I'm thirsty,Grammar,2025-08-31 00:00:00,2025-08-07 00:00:55,0,2.5,0,true,false
Yo estudio español,I study Spanish,Grammar,2025-09-01 00:00:00,2025-08-07 00:00:56,0,2.5,0,true,false
J'étudie le français,I study French,Grammar,2025-09-02 00:00:00,2025-08-07 00:00:57,0,2.5,0,true,false
Ich lerne Deutsch,I learn German,Grammar,2025-09-03 00:00:00,2025-08-07 00:00:58,0,2.5,0,true,false
Studio italiano,I study Italian,Grammar,2025-09-04 00:00:00,2025-08-07 00:00:59,0,2.5,0,true,false
Yo leo un libro,I'm reading a book,Grammar,2025-09-05 00:00:00,2025-08-07 00:01:00,0,2.5,0,true,false
Je lis un livre,I'm reading a book,Grammar,2025-09-06 00:00:00,2025-08-07 00:01:01,0,2.5,0,true,false
Ich lese ein Buch,I'm reading a book,Grammar,2025-09-07 00:00:00,2025-08-07 00:01:02,0,2.5,0,true,false
Leggo un libro,I'm reading a book,Grammar,2025-09-08 00:00:00,2025-08-07 00:01:03,0,2.5,0,true,false
Yo escribo una carta,I'm writing a letter,Grammar,2025-09-09 00:00:00,2025-08-07 00:01:04,0,2.5,0,true,false
J'écris une lettre,I'm writing a letter,Grammar,2025-09-10 00:00:00,2025-08-07 00:01:05,0,2.5,0,true,false
Ich schreibe einen Brief,I'm writing a letter,Grammar,2025-09-11 00:00:00,2025-08-07 00:01:06,0,2.5,0,true,false
Scrivo una lettera,I'm writing a letter,Grammar,2025-09-12 00:00:00,2025-08-07 00:01:07,0,2.5,0,true,false
Yo corro cada día,I run every day,Grammar,2025-09-13 00:00:00,2025-08-07 00:01:08,0,2.5,0,true,false
Je cours chaque jour,I run every day,Grammar,2025-09-14 00:00:00,2025-08-07 00:01:09,0,2.5,0,true,false
Ich laufe jeden Tag,I run every day,Grammar,2025-09-15 00:00:00,2025-08-07 00:01:10,0,2.5,0,true,false
Corro ogni giorno,I run every day,Grammar,2025-09-16 00:00:00,2025-08-07 00:01:11,0,2.5,0,true,false
Agua,Water in Spanish,Vocabulary,2025-09-09 00:00:00,2025-08-07 00:01:12,0,2.5,0,true,false
